Categoría: Todas las categorías

Región,running: (2004)
Galicia,100
Castilla y León,82
Cataluña,76
País Vasco,68
Andalucía,66
Comunidad de Madrid,66
Comunidad Valenciana,60
Aragón,
Principado de Asturias,
Cantabria,
Ceuta,
Castilla-La Mancha,
Canarias,
Extremadura,
Islas Baleares,
Región de Murcia,
Melilla,
Navarra,
La Rioja,
