Categoría: Todas las categorías

Región,running: (2020)
Región de Murcia,100
Cataluña,85
Comunidad de Madrid,84
País Vasco,83
Andalucía,83
Castilla-La Mancha,81
Aragón,80
Comunidad Valenciana,80
Extremadura,78
Principado de Asturias,73
Castilla y León,72
Navarra,72
Melilla,69
Cantabria,67
Galicia,65
Islas Baleares,64
Canarias,62
Ceuta,57
La Rioja,55
