Categoría: Todas las categorías

Región,running: (2009)
Navarra,100
Aragón,86
Principado de Asturias,82
Castilla-La Mancha,76
Cataluña,76
Comunidad Valenciana,74
Castilla y León,73
País Vasco,64
Galicia,62
Comunidad de Madrid,61
Andalucía,58
Canarias,46
Región de Murcia,45
Cantabria,
Ceuta,
Extremadura,
Islas Baleares,
Melilla,
La Rioja,
