Categoría: Todas las categorías

Región,running: (2024)
Comunidad de Madrid,100
País Vasco,96
Comunidad Valenciana,93
Cataluña,91
Región de Murcia,89
Aragón,87
Andalucía,84
Principado de Asturias,84
Castilla-La Mancha,81
Navarra,79
Extremadura,77
Islas Baleares,76
La Rioja,75
Cantabria,73
Castilla y León,72
Galicia,66
Canarias,66
Ceuta,61
Melilla,56
