Categoría: Todas las categorías

Región,running: (2007)
Cataluña,100
Principado de Asturias,95
Comunidad de Madrid,92
Comunidad Valenciana,88
País Vasco,77
Castilla y León,77
Galicia,71
Andalucía,71
Aragón,63
Canarias,51
Cantabria,
Ceuta,
Castilla-La Mancha,
Extremadura,
Islas Baleares,
Región de Murcia,
Melilla,
Navarra,
La Rioja,
