Categoría: Todas las categorías

Región,running: (2023)
Comunidad de Madrid,100
Región de Murcia,90
Comunidad Valenciana,90
País Vasco,87
Principado de Asturias,86
Aragón,83
Extremadura,81
Castilla-La Mancha,81
Cataluña,80
Andalucía,80
Navarra,75
La Rioja,73
Islas Baleares,72
Castilla y León,68
Ceuta,67
Cantabria,67
Melilla,65
Canarias,61
Galicia,60
