Categoría: Todas las categorías

Región,running: (2005)
País Vasco,100
Galicia,95
Cataluña,90
Canarias,88
Andalucía,71
Comunidad Valenciana,69
Comunidad de Madrid,62
Aragón,
Principado de Asturias,
Cantabria,
Ceuta,
Castilla y León,
Castilla-La Mancha,
Extremadura,
Islas Baleares,
Región de Murcia,
Melilla,
Navarra,
La Rioja,
