Categoría: Todas las categorías

Región,running: (2019)
Comunidad Valenciana,100
Región de Murcia,97
Aragón,94
Comunidad de Madrid,92
Melilla,91
Cataluña,91
Ceuta,89
Andalucía,89
País Vasco,88
Castilla-La Mancha,85
Navarra,84
Castilla y León,80
Extremadura,77
Cantabria,74
Canarias,74
Islas Baleares,74
Principado de Asturias,72
Galicia,67
La Rioja,66
