Categoría: Todas las categorías

Región,running: (2017)
Melilla,100
Aragón,92
Comunidad Valenciana,89
Ceuta,88
Región de Murcia,87
Cataluña,83
País Vasco,82
Navarra,81
Andalucía,79
Comunidad de Madrid,79
Castilla-La Mancha,76
Castilla y León,74
Cantabria,72
La Rioja,69
Extremadura,69
Islas Baleares,68
Galicia,67
Principado de Asturias,66
Canarias,63
