Categoría: Todas las categorías

Región,running: (2012)
Cataluña,100
Comunidad Valenciana,82
Aragón,68
Comunidad de Madrid,67
Islas Baleares,65
Cantabria,64
Región de Murcia,58
Principado de Asturias,58
Navarra,58
Castilla-La Mancha,54
Castilla y León,54
País Vasco,52
Canarias,51
Andalucía,49
Extremadura,47
Galicia,46
La Rioja,40
Ceuta,
Melilla,
