Categoría: Todas las categorías

Región,running: (2022)
Comunidad de Madrid,100
Aragón,96
Región de Murcia,92
País Vasco,88
Cataluña,87
Extremadura,86
Comunidad Valenciana,84
Andalucía,83
Castilla-La Mancha,78
Principado de Asturias,77
Castilla y León,74
Islas Baleares,74
Ceuta,73
Navarra,71
La Rioja,69
Cantabria,68
Galicia,65
Canarias,63
Melilla,51
