Categoría: Todas las categorías

Región,running: (2013)
Cataluña,100
Melilla,98
Comunidad Valenciana,97
Navarra,85
Región de Murcia,80
Castilla y León,78
Cantabria,75
País Vasco,74
Aragón,73
Islas Baleares,71
Comunidad de Madrid,70
Principado de Asturias,64
Castilla-La Mancha,62
Andalucía,58
Galicia,58
Canarias,56
Extremadura,56
La Rioja,56
Ceuta,
