Categoría: Todas las categorías

Región,running: (2021)
Comunidad de Madrid,100
Cataluña,90
Región de Murcia,89
Comunidad Valenciana,88
Aragón,85
País Vasco,84
Castilla-La Mancha,82
Extremadura,80
Andalucía,79
Castilla y León,76
Islas Baleares,75
Principado de Asturias,74
Navarra,71
Ceuta,71
Cantabria,69
Galicia,68
La Rioja,62
Melilla,61
Canarias,54
