Categoría: Todas las categorías

Región,running: (2015)
Melilla,100
Comunidad Valenciana,95
Aragón,95
Cataluña,82
Región de Murcia,79
Principado de Asturias,78
País Vasco,77
Castilla-La Mancha,76
Navarra,76
Comunidad de Madrid,75
Castilla y León,73
Cantabria,72
Andalucía,71
Islas Baleares,71
Ceuta,70
Galicia,70
La Rioja,69
Extremadura,65
Canarias,60
