Categoría: Todas las categorías

Región,running: (2016)
Aragón,100
Comunidad Valenciana,92
País Vasco,77
Región de Murcia,77
Castilla-La Mancha,76
Comunidad de Madrid,76
Ceuta,75
Cataluña,75
Navarra,71
Castilla y León,69
Melilla,69
Andalucía,68
Cantabria,66
Islas Baleares,65
Extremadura,62
Galicia,60
Principado de Asturias,60
Canarias,59
La Rioja,58
