Categoría: Todas las categorías

Región,running: (2008)
Comunidad Valenciana,100
Cataluña,84
Galicia,83
Principado de Asturias,82
País Vasco,77
Comunidad de Madrid,76
Castilla y León,73
Región de Murcia,69
Andalucía,69
Canarias,65
Aragón,60
Cantabria,
Ceuta,
Castilla-La Mancha,
Extremadura,
Islas Baleares,
Melilla,
Navarra,
La Rioja,
