Categoría: Todas las categorías

Región,running: (2011)
Comunidad Valenciana,100
Cataluña,91
Aragón,83
Comunidad de Madrid,77
Región de Murcia,74
Navarra,72
País Vasco,68
Islas Baleares,68
Castilla-La Mancha,67
Cantabria,63
Canarias,62
Andalucía,61
Castilla y León,61
Principado de Asturias,60
La Rioja,55
Galicia,53
Extremadura,51
Ceuta,
Melilla,
