Categoría: Todas las categorías

Región,running: (2014)
Comunidad Valenciana,100
Ceuta,95
Aragón,94
Región de Murcia,94
Cataluña,94
Principado de Asturias,86
Cantabria,82
Comunidad de Madrid,79
Castilla y León,79
País Vasco,78
Castilla-La Mancha,78
Islas Baleares,77
Navarra,76
Melilla,76
Andalucía,73
La Rioja,69
Galicia,69
Extremadura,68
Canarias,62
