Categoría: Todas las categorías

Región,running: (2018)
Melilla,100
Comunidad Valenciana,90
Aragón,87
Región de Murcia,83
Cataluña,82
Andalucía,82
Navarra,78
País Vasco,76
Ceuta,74
Comunidad de Madrid,73
Castilla-La Mancha,73
Islas Baleares,67
Cantabria,66
Extremadura,65
Castilla y León,65
Canarias,64
La Rioja,62
Galicia,61
Principado de Asturias,59
