Categoría: Todas las categorías

Región,running: (2010)
La Rioja,100
Aragón,53
Comunidad Valenciana,50
Región de Murcia,47
Cataluña,47
Principado de Asturias,46
Castilla y León,45
Galicia,43
Comunidad de Madrid,41
País Vasco,39
Castilla-La Mancha,39
Andalucía,38
Navarra,38
Canarias,32
Cantabria,
Ceuta,
Extremadura,
Islas Baleares,
Melilla,
