dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-10,Abril,Triatlón Trialqueva Olivenza-Elvas - Olímpico,https://runedia.mundodeportivo.com/carrera/triatlon-trialqueva-olivenza-elvas-olimpico-2022/202220097/,"Badajoz, Olivenza",Triatlón,61500 m,extremadura,2022
D-10,Abril,Subida a la Sierra de Alor,https://runedia.mundodeportivo.com/carrera/subida-a-la-sierra-de-alor-2022/202220024/,"Badajoz, Olivienza",Tierra,22000 m,extremadura,2022
D-10,Abril,Triatlón Trialqueva Olivenza-Elvas - Sprint,https://runedia.mundodeportivo.com/carrera/triatlon-trialqueva-olivenza-elvas-sprint-2022/202220098/,"Badajoz, Olivenza",Triatlón,20750 m,extremadura,2022
S-16,Abril,Trail running sierra de la Mosca,https://runedia.mundodeportivo.com/carrera/trail-running-sierra-de-la-mosca-2022/202220435/,"Cáceres, Cáceres",Montaña,21500 m,extremadura,2022
S-16,Abril,Carrera por montaña Garganta de los infiernos,https://runedia.mundodeportivo.com/carrera/carrera-por-montana-garganta-de-los-infiernos-2022/202220549/,"Cáceres, Jerte",Montaña,27000 m,extremadura,2022
S-23,Abril,5K Ciudad de Don Benito,https://runedia.mundodeportivo.com/carrera/5k-ciudad-de-don-benito-2022/202243571/,"Badajoz, Don Benito",Asfalto,5000 m,extremadura,2022
S-23,Abril,10K Ciudad de Don Benito,https://runedia.mundodeportivo.com/carrera/10k-ciudad-de-don-benito-2022/202243562/,"Badajoz, Don Benito",Asfalto,10000 m,extremadura,2022
S-23,Abril,Titan 5 miles Media Maratón,https://runedia.mundodeportivo.com/carrera/titan-5-miles-media-maraton-2022/202221248/,"Badajoz, Cabeza la Vaca",Btt,50000 m,extremadura,2022
D-24,Abril,Desafío San Fernando cross 21k,https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-cross-21k-2022/202221429/,"Badajoz, Badajoz",Cross,21000 m,extremadura,2022
D-24,Abril,"Carrera por montaña Deportes Parra Hervás - Corto 10,5 km",https://runedia.mundodeportivo.com/carrera/carrera-por-montana-deportes-parra-hervas-corto-105-km-2022/202221371/,"Cáceres, Hervás",Montaña,10500 m,extremadura,2022
D-24,Abril,X Maratón  Templario mtb race copa de España,https://runedia.mundodeportivo.com/carrera/x-maraton-templario-mtb-race-copa-de-espana-2022/202226468/,"Badajoz, Jerez de los Caballeros",Btt,89000 m,extremadura,2022
D-24,Abril,San Romilla,https://runedia.mundodeportivo.com/carrera/san-romilla-2022/202224099/,"Badajoz, Badajoz",Asfalto,1609 m,extremadura,2022
D-24,Abril,Maratón Templario Jerez de los Caballeros  - Ruta Cicloturista 40k,https://runedia.mundodeportivo.com/carrera/maraton-templario-jerez-de-los-caballeros-ruta-cicloturista-40k-2022/202226457/,"Badajoz, Jerez de los Caballeros",Btt,40000 m,extremadura,2022
D-24,Abril,Maratona Ciclocube BTT De Elvas - Maratón,https://runedia.mundodeportivo.com/carrera/maratona-ciclocube-btt-de-elvas-maraton-2022/202221542/,"Badajoz, Elvas",Btt,80000 m,extremadura,2022
