dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-6,Agosto,Cross San Roque,https://runedia.mundodeportivo.com/carrera/cross-san-roque-2011/20113049/,"Córdoba, Dos Torres",Ruta,3500 m,andalucia,2011
S-6,Agosto,Carrera popular Villa de Belalcazar,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-belalcazar-2011/20112604/,"Córdoba, Belalcazar",Ruta,7000 m,andalucia,2011
S-6,Agosto,Carrera popular Albánchez,https://runedia.mundodeportivo.com/carrera/carrera-popular-albanchez-2011/20112221/,"Almería, Albánchez",Ruta,8000 m,andalucia,2011
D-7,Agosto,Carrera urbana Sierra Mágina villa de Bedmar,https://runedia.mundodeportivo.com/carrera/carrera-urbana-sierra-magina-villa-de-bedmar-2011/20112788/,"Jaén, Bedmar",Ruta,4500 m,andalucia,2011
D-7,Agosto,Subida Granada - Veleta,https://runedia.mundodeportivo.com/carrera/subida-granada-veleta-2011/20110438/,"Granada, Granada",Montaña,50000 m,andalucia,2011
D-7,Agosto,Subida al pico Veleta,https://runedia.mundodeportivo.com/carrera/subida-al-pico-veleta-2011/20112630/,"Granada, Granada",Montaña,50000 m,andalucia,2011
D-7,Agosto,Carrera popular Unión las Quemadas,https://runedia.mundodeportivo.com/carrera/carrera-popular-union-las-quemadas-2011/20113063/,"Córdoba, Córdoba",Ruta,5300 m,andalucia,2011
S-13,Agosto,Carrera Popular Valle de la Osa,https://runedia.mundodeportivo.com/carrera/carrera-popular-valle-de-la-osa-2011/20112151/,"Sevilla, Constantina",Ruta,5000 m,andalucia,2011
S-13,Agosto,Carrera popular San Bartolomé,https://runedia.mundodeportivo.com/carrera/carrera-popular-san-bartolome-2011/20112789/,"Jaén, Martos",Ruta,5500 m,andalucia,2011
S-13,Agosto,Carrera popular pinar de los Franceses,https://runedia.mundodeportivo.com/carrera/carrera-popular-pinar-de-los-franceses-2011/20112485/,"Cádiz, Chiclana de la Frontera",Ruta,7050 m,andalucia,2011
