Año,CCAA,PIB_anual,PIB_capita,Renta media por persona (con alquiler imputado),Renta media por unidad de consumo,Renta media por unidad de consumo (con alquiler imputado),Renta neta media por persona,Total_paro,busquedas_running,Income_Group,Unemp_Group,Search_Group
2023,Canarias,54.194,24.345,14.05,17.94,20.537,12.177,16.06,61.0,Low,High,Low
2023,Cantabria,16.777,28.461,16.323,20.495,23.447,14.162,7.39,67.0,Medium,Low,Low
2023,CastillaLeon,70.876,29.698,16.277,20.109,22.998,14.124,9.59,68.0,Medium,Medium,Medium
2023,CastillaLaMancha,53.929,25.758,13.765,17.634,20.224,11.913,12.33,81.0,Low,Medium,Medium
2023,Catalunya,281.845,35.325,17.957,23.269,26.199,15.83,9.16,80.0,High,Low,Medium
2023,Ceuta,1.889,22.751,15.276,20.67,23.456,13.421,32.66,67.0,Medium,High,Low
2023,ComunidadValenciana,139.42,26.453,14.937,18.752,21.697,12.805,12.93,90.0,Medium,Medium,High
2023,Madrid,293.069,42.198,19.041,24.991,28.077,16.817,9.64,100.0,High,Medium,High
2023,Extremadura,24.87,23.604,13.273,16.493,19.131,11.363,16.23,81.0,Low,High,Medium
2023,Galicia,77.356,28.644,15.262,19.152,22.034,13.147,9.19,60.0,Medium,Low,Low
2023,Baleares,42.084,34.381,16.005,21.143,23.794,14.139,11.16,72.0,Medium,Medium,Medium
2023,LaRioja,10.618,32.828,16.332,20.687,23.613,14.184,9.71,73.0,Medium,Medium,Medium
2023,Melilla,1.75,20.479,15.78,20.825,23.584,13.854,29.57,65.0,Medium,High,Low
2023,Navarra,25.041,37.088,18.711,24.495,27.425,16.599,9.25,75.0,High,Low,Medium
2023,Murcia,40.386,25.887,13.182,17.069,19.718,11.314,11.46,90.0,Low,Medium,High
2024,Andalucia,199.952,23.218,14.276,17.99,20.896,12.191,15.76,84.0,Low,High,Medium
2024,Aragon,46.674,34.658,17.916,22.875,25.808,15.747,7.62,87.0,Medium,Low,High
2024,Asturias,28.326,28.13,18.597,22.774,25.954,16.201,8.09,84.0,High,Low,Medium
2024,Canarias,54.194,24.345,15.334,19.797,22.56,13.372,11.91,66.0,Medium,Medium,Low
2024,Cantabria,16.777,28.461,16.913,21.32,24.318,14.708,8.23,73.0,Medium,Medium,Medium
2024,CastillaLeon,70.876,29.698,17.185,21.166,24.116,14.94,8.23,72.0,Medium,Medium,Low
2024,CastillaLaMancha,53.929,25.758,14.258,18.219,20.841,12.357,11.86,81.0,Low,Medium,Medium
2024,Catalunya,281.845,35.325,18.563,24.412,27.2,16.546,7.87,91.0,High,Low,High
2024,Ceuta,1.889,22.751,15.19,20.803,23.473,13.403,21.79,61.0,Medium,High,Low
2024,ComunidadValenciana,139.42,26.453,15.523,19.574,22.532,13.374,12.33,93.0,Medium,Medium,High
2024,Madrid,293.069,42.198,19.459,25.712,28.74,17.275,8.58,100.0,High,Medium,High
2024,Extremadura,24.87,23.604,14.399,18.05,20.761,12.421,15.26,77.0,Low,High,Medium
2024,Galicia,77.356,28.644,16.717,21.36,24.301,14.558,8.67,66.0,Medium,Medium,Low
2024,Baleares,42.084,34.381,17.855,23.689,26.382,15.926,8.2,76.0,High,Low,Medium
2024,LaRioja,10.618,32.828,16.718,20.901,23.855,14.529,8.58,75.0,Medium,Medium,Medium
2024,Melilla,1.75,20.479,14.558,19.431,22.049,12.745,25.8,56.0,Low,High,Low
2024,Navarra,25.041,37.088,19.348,25.285,28.156,17.253,6.6,79.0,High,Low,Medium
2024,Murcia,40.386,25.887,13.808,18.111,20.725,11.967,13.4,89.0,Low,High,High
