dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-30,Marzo,Carrera de montaña Serranía de Librilla,https://runedia.mundodeportivo.com/carrera/carrera-de-montana-serrania-de-librilla-2019/201914122/,"Murcia, Librilla",Montaña,21000 m,murcia,2019
S-30,Marzo,Cieza 10k,https://runedia.mundodeportivo.com/carrera/cieza-10k-2019/201921179/,"Murcia, Cieza",Asfalto,10000 m,murcia,2019
D-31,Marzo,Komokabras - Marcha BTT Ciudad de Yecla.,https://runedia.mundodeportivo.com/carrera/komokabras-marcha-btt-ciudad-de-yecla-2019/201914299/,"Murcia, Yecla",Btt,38000 m,murcia,2019
D-31,Marzo,Travesía de Montaña Serranía de Librilla,https://runedia.mundodeportivo.com/carrera/travesia-de-montana-serrania-de-librilla-2019/201914572/,"Murcia, Librilla",Travesía,21000 m,murcia,2019
D-31,Marzo,VIII 21k Serrania de Librilla Travesia,https://runedia.mundodeportivo.com/carrera/viii-21k-serrania-de-librilla-travesia-2019/201954774/,"Murcia,  Librilla",Travesía,21000 m,murcia,2019
D-31,Marzo,VIII 21k Serrania de Librilla Carrera,https://runedia.mundodeportivo.com/carrera/viii-21k-serrania-de-librilla-carrera-2019/201954775/,"Murcia,  Librilla",Montaña,21000 m,murcia,2019
V-5,Abril,Carrera Universidad de Murcia,https://runedia.mundodeportivo.com/carrera/carrera-universidad-de-murcia-2019/201919698/,"Murcia, Murcia",Asfalto,4500 m,murcia,2019
S-6,Abril,Ruta de las Fortalezas,https://runedia.mundodeportivo.com/carrera/ruta-de-las-fortalezas-2019/201918094/,"Murcia, Cartagena",Travesía,53000 m,murcia,2019
S-6,Abril,Ultra Trail Ruta de las Fortalezas,https://runedia.mundodeportivo.com/carrera/ultra-trail-ruta-de-las-fortalezas-2019/201918153/,"Murcia, Cartagena",Montaña,111000 m,murcia,2019
D-7,Abril,Nogalte Trail Extreme 12km,https://runedia.mundodeportivo.com/carrera/nogalte-trail-extreme-12km-2019/201917598/,"Murcia, Puerto Lumbreras",Montaña,12000 m,murcia,2019
D-7,Abril,Carrera Solidaria Vía Crucis Torrealta,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-via-crucis-torrealta-2019/201954812/,"Murcia, Torrealta de Molina",Asfalto,6500 m,murcia,2019
D-7,Abril,10K Ciudad de Yecla. Memorial Pedro Muñoz “El Calero”,https://runedia.mundodeportivo.com/carrera/10k-ciudad-de-yecla-memorial-pedro-munoz-el-calero-2019/201950516/,"Murcia, Yecla",Asfalto,10000 m,murcia,2019
