,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO  DE LICENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1941,1942,1943,,,1944,,,1945,,1946,,1947,,,,1948,,1949,,1950,,1951,,,1952,,1953,,,1954,,,1955,,1956,,1957,,1958,,,1959,,,1960,,1961,,1962,,1963,,,1964,,,1965,,,
28,GALGOS,,433,408,528,,,519,,,530,,582,,505,,,,452,,412,,363,,246,,,261,,278,,,233,,,281,,293,,313,,338,,,320,,,326,,312,,327,,395,,,403,,,439,,,
29,GIMNASIA,,23,20,19,,,21,,,29,,40,,21,,,,19,,23,,57,,92,,,200,,209,,,379,,,247,,516,,526,,352,,,549,,,706,,306,,607,,557,,,638,,,635,,,
30,GOLF,,40,40,50,,,75,,,80,,90,,120,,,,480,,600,,709,,839,,,957,,891,,,953,,,1.023,,1.135,,1.234,,1.382,,,1.586,,,1.604,,1.802,,1.972,,2.170,,,2.280,,,2.188,,,
31,HALTEROFILIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,HÍPICA,,,,20,,,,,,,,23,,,,,,,,36,,42,,38,,,46,,49,,,53,,,69,,108,,146,,181,,,215,,,264,,245,,281,,332,,,377,,,358,,,
33,HOCKEY,,850,903,982,,,1.024,,,1.112,,1.072,,1.353,,,,1.670,,1.948,,2.371,,1.807,,,2.170,,2.094,,,1.222,,,1.247,,1.526,,1.633,,1.980,,,2.181,,,2.272,,2.492,,2.033,,2.256,,,3.198,,,3.981,,,
34,JUDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.785,,,
35,KARATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,KICKBOXING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LUCHAS OLÍMPICAS,,73,90,106,,,140,,,153,,184,,208,,,,,,410,,470,,539,,,648,,710,,,862,,,1.117,,930,,1.226,,2.310,,,2.321,,,2.450,,2.670,,3.160,,2.237,,,2.193,,,1.401,,,
38,"MONTAÑA Y ESCALADA, DEP. DE",,705,816,997,,,1.826,,,2.207,,3.009,,3.200,,,,4.001,,4.201,,5.013,,5.511,,,6.201,,7.862,,,9.212,,,9.600,,10.509,,12.000,,13.800,,,14.200,,,15.084,,15.064,,17.117,,25.000,,,60.137,,,61.887,,,
39,MOTOCICLISMO,,96,,,,,,,,196,,218,,257,,,,260,,298,,305,,195,,,911,,963,,,1.043,,,1.116,,650,,1.370,,1.578,,,1.896,,,1.647,,1.248,,1.208,,1.157,,,1.438,,,1.438,,,
40,MOTONÁUTICA,,,,,,,16,,,22,,34,,39,,,,56,,71,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,
41,NATACIÓN,,696,721,730,,,758,,,803,,866,,910,,,,949,,886,,893,,931,,,1.036,,1.234,,,1.340,,,2.188,,2.297,,2.337,,3.044,,,2.905,,,3.430,,1.970,,2.123,,3.120,,,3.884,,,4.301,,,
42,ORIENTACIÓN (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PADEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PATINAJE,,,,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.296,,,1.391,,1.582,,1.795,,1.932,,,2.011,,,2.065,,1.663,,1.678,,1.691,,,1.570,,,2.282,,,
45,PELOTA,,1.085,1.123,1.142,,,1.108,,,1.236,,1.184,,1.147,,,,1.207,,1.114,,1.281,,1.342,,,1.394,,1.456,,,1.502,,,1.687,,1.863,,1.948,,2.139,,,2.045,,,2.521,,654,,838,,1.109,,,1.048,,,1.012,,,
46,PENTATLON MODERNO,,10,12,14,,,,,,,,,,,,,,16,,,,,,18,,,20,,20,,,22,,,24,,28,,33,,39,,,40,,,42,,45,,48,,57,,,60,,,66,,,
47,PESCA,,3.738,,,,,4.172,,,,,4.362,,,,,,4.690,,4.721,,5.009,,5.133,,,5.212,,5.348,,,5.497,,,5.633,,5.826,,6.010,,,,,6.293,,,6.410,,6.631,,7.906,,7.865,,,7.460,,,7.703,,,
48,PETANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PIRAGÜISMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,189,,348,,560,,,637,,,1.079,,,
50,POLO,,16,24,24,,,26,,,26,,30,,28,,,,34,,34,,34,,36,,,40,,52,,,56,,,54,,60,,60,,50,,,65,,,53,,44,,46,,69,,,71,,,71,,,
51,REMO,,36,42,50,,,50,,,60,,60,,30,,,,80,,80,,110,,270,,,370,,340,,,410,,,410,,430,,250,,310,,,300,,,255,,563,,633,,589,,,867,,,1.100,,,
52,RUGBY,,450,450,500,,,500,,,690,,600,,750,,,,900,,1.080,,1.200,,1.250,,,1.200,,1.300,,,1.200,,,1.200,,1.100,,1.200,,1.300,,,1.400,,,1.213,,1.179,,1.021,,1.853,,,2.401,,,3.681,,,
53,SALVAMENTO Y SOCORRISMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.678,,2.360,,2.421,,,1.934,,,1.792,,,
54,SQUASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,TAEKWONDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,TENIS,,356,491,768,,,937,,,1.409,,2.055,,2.817,,,,3.023,,3.456,,3.709,,4.009,,,4.983,,5.325,,,5.767,,,6.209,,6.308,,6.709,,7.110,,,7.510,,,4.445,,4.759,,1.979,,2.053,,,2.528,,,2.702,,,
58,TENIS DE MESA,,,280,280,,,340,,,340,,410,,410,,,,540,,540,,949,,949,,,717,,717,,,801,,,801,,903,,903,,989,,,1.025,,,1.072,,1.265,,1.301,,1.382,,,1.402,,,1.419,,,
59,TIRO A VUELO,,201,235,298,,,314,,,363,,423,,487,,,,561,,647,,721,,628,,,578,,560,,,542,,,555,,498,,482,,551,,,586,,,562,,567,,568,,532,,,585,,,570,,,
60,TIRO CON ARCO,,,,,,,,,,,,,,,,,,,,97,,156,,205,,,225,,228,,,235,,,230,,236,,241,,246,,,248,,,248,,141,,245,,332,,,357,,,382,,,
61,TIRO OLÍMPICO,,496,335,722,,,942,,,1.261,,1.332,,1.646,,,,1.781,,1.832,,1.963,,1.882,,,1.765,,1.820,,,1.916,,,2.023,,1.832,,2.460,,2.365,,,2.326,,,2.345,,1.983,,1.822,,5.257,,,8.357,,,4.290,,,
62,TRIATLON (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,VELA,,,286,,,,,,,,,350,,377,,,,390,,393,,419,,453,,,475,,510,,,574,,,610,,643,,820,,841,,,849,,,873,,886,,907,,918,,,930,,,960,,,
64,VOLEIBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,1.575,,1.640,,2.153,,,2.748,,,4.128,,,
1,BAILE DEPORTIVO (A.E.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FÚTBOL AMERICANO (A.E.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOBSLEIGH (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPORTE UNIVERSITARIO (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FÚTBOL SALA (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALES,,,44.880,36.516,46.575,,,57.471,,,60.282,,65.618,,66.096,,,,67.922,,70.739,,80.137,,87.270,,,90.084,,95.509,,,101.890,,,101.193,,108.159,,156.409,,165.949,,,187.774,,,201.296,,220.092,,234.792,,249.478,,,308.631,,,303.694,,,
(1)  Actualmente son 5 Federaciones lo que antes se agrupó en una,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  Integrada en Deportes de Invierno hasta su segregación como Fed. Española (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)  Agrupación desde 1993 hasta 2003 que se convierte en Federación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)  Integrada en Pentatlon Moderno hasta su segregación como Fed. Española (1994) (*)  Desaparecieron como Federación Española,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1966,1967,,1968,,,1969,,,1970,,1971,,,,1972,,,1973,,,1974,,1975,,,1976,,,1977,,,1978,,,1979,,1980,,,1981,,,1982,,,1983,,1984,,1985,,,1986,,,1987,,1988,1989,1990
1,ACTIVIDADES SUBACUÁTICAS,,,3.420,,7.014,,,6.222,,,9.426,,11.128,,,,11.783,,,12.471,,,11.201,,15.020,,,9.828,,,9.828,,,13.179,,,12.247,,13.706,,,12.701,,,14.763,,,15.932,,15.551,,15.656,,,14.406,,,15.402,,14.933,16.063,18.077
2,AERONÁUTICA,,1.087,1.103,,1.294,,,1.544,,,1.855,,1.985,,,,2.292,,,2.766,,,2.751,,4.237,,,5.033,,,5.447,,,9.965,,,6.715,,7.595,,,6.674,,,7.695,,,7.672,,7.052,,7.077,,,7.403,,,8.379,,9.928,13.086,14.625
3,AJEDREZ,,5.531,6.620,,3.496,,,3.031,,,3.768,,4.380,,,,8.008,,,10.751,,,11.356,,12.900,,,15.699,,,41.846,,,17.050,,,21.483,,23.328,,,21.093,,,22.700,,,20.673,,98.486,,107.689,,,149.184,,,124.018,,305.603,24.408,25.070
4,ATLETISMO,,17.123,17.997,,27.938,,,38.363,,,38.039,,11.854,,,,135.554,,,166.553,,,169.493,,175.730,,,185.730,,,186.484,,,42.710,,,34.148,,41.661,,,43.741,,,39.306,,,40.150,,42.119,,50.509,,,51.054,,,59.867,,67.336,89.155,94.432
5,AUTOMOVILISMO,,1.682,2.546,,3.502,,,4.472,,,4.780,,4.950,,,,5.086,,,5.533,,,5.131,,4.959,,,5.936,,,5.936,,,10.175,,,10.175,,9.023,,,10.190,,,7.923,,,11.100,,11.052,,7.751,,,10.789,,,9.716,,11.828,11.484,10.023
6,BADMINTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,,2.556,,,3.922,,,4.455,,4.153,4.937,4.400
7,BALONCESTO,,14.160,15.328,,18.253,,,22.713,,,27.016,,29.300,,,,130.163,,,157.847,,,155.520,,158.206,,,174.976,,,163.011,,,93.244,,,55.997,,65.170,,,69.097,,,93.311,,,95.577,,105.776,,116.568,,,124.531,,,154.039,,187.770,202.909,205.019
8,BALONMANO,,24.810,26.176,,36.349,,,62.228,,,83.507,,126.774,,,,155.111,,,160.503,,,191.617,,160.711,,,170.795,,,185.941,,,108.472,,,120.332,,261.038,,,226.306,,,233.846,,,236.921,,272.185,,199.310,,,117.584,,,121.310,,132.752,145.618,140.763
9,BÉISBOL Y SOFTBOL,,1.331,1.513,,2.085,,,2.198,,,2.198,,1.280,,,,4.650,,,3.316,,,3.183,,2.938,,,3.479,,,4.710,,,4.633,,,5.748,,7.006,,,6.082,,,5.449,,,6.489,,5.842,,4.775,,,5.672,,,5.190,,2.162,3.022,3.123
10,BILLAR,,5.696,5.520,,5.474,,,5.611,,,5.152,,5.798,,,,5.816,,,5.816,,,5.574,,12.071,,,11.710,,,11.710,,,11.710,,,11.720,,1.297,,,11.589,,,11.132,,,11.063,,10.811,,10.535,,,2.860,,,5.507,,4.751,6.382,6.710
11,BOLOS,,5.590,7.745,,15.372,,,17.471,,,21.167,,21.812,,,,26.648,,,26.890,,,32.001,,34.088,,,37.283,,,37.282,,,40.382,,,42.285,,44.647,,,40.255,,,36.063,,,34.201,,37.135,,14.949,,,14.031,,,14.164,,14.232,13.023,13.834
12,BOXEO,,1.840,2.180,,2.452,,,2.924,,,3.084,,3.420,,,,3.837,,,2.929,,,2.955,,3.146,,,2.680,,,2.959,,,1.071,,,1.519,,1.379,,,1.154,,,1.851,,,1.623,,1.888,,2.671,,,3.934,,,4.881,,5.218,3.345,3.196
13,CAZA,,85.000,71.960,,91.463,,,89.848,,,123.088,,120.328,,,,120.328,,,112.618,,,185.777,,212.244,,,236.436,,,236.436,,,223.648,,,223.456,,210.214,,,220.209,,,229.618,,,255.059,,280.000,,300.000,,,292.972,,,290.359,,321.066,329.460,290.129
14,CICLISMO,,3.697,3.709,,5.000,,,4.642,,,5.049,,5.086,,,,5.074,,,7.607,,,9.790,,9.280,,,9.891,,,6.588,,,9.801,,,11.452,,17.220,,,20.271,,,25.022,,,30.210,,37.293,,42.396,,,41.944,,,41.256,,40.780,39.477,42.552
15,COLOMBICULTURA,,9.560,9.736,,12.454,,,9.602,,,13.094,,13.773,,,,14.436,,,14.932,,,15.634,,16.380,,,17.502,,,17.855,,,18.451,,,18.667,,20.481,,,21.369,,,21.849,,,21.578,,21.933,,22.141,,,21.150,,,19.010,,21.712,17.294,21.929
16,COLOMBÓFILA,,6.010,5.941,,6.037,,,6.031,,,6.027,,6.077,,,,6.125,,,6.005,,,5.689,,5.492,,,5.176,,,5.267,,,5.772,,,6.079,,6.156,,,6.694,,,7.143,,,4.398,,4.769,,4.630,,,4.181,,,4.365,,4.626,4.751,5.007
17,DEP. DISCAPACIDAD FÍSICA (1),,,,,,,,256,,,,,345,,,,400,,,1.000,,,1.000,,1.954,,,1.081,,,1.315,,,1.419,,,1.686,,4.532,,,3.838,,,1.550,,,2.131,,5.349,,,,,5.545,,,6.018,,6.017,2.803,1.727
18,DEP. DISCAPACIDAD INTELECTUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DEP. PARA CIEGOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DEP. PARA SORDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
