,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO  DE LICENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1941,1942,1943,,,1944,,,1945,,1946,,1947,,,,1948,,1949,,1950,,1951,,,1952,,1953,,,1954,,,1955,,1956,,1957,,1958,,,1959,,,1960,,1961,,1962,,1963,,,1964,,,1965,,,
31,HALTEROFILIA,,59,1.156,,2.113,,,3.324,,,6.249,,4.541,,,,4.058,,,4.108,,,4.118,,5.457,,,5.587,,,5.776,,,6.734,,,6.934,,7.920,,,7.813,,,8.599,,,8.565,,9.090,,7.489,,,6.080,,,5.869,,5.835,8.950,9.368
32,HÍPICA,,582,743,,770,,,1.070,,,1.031,,1.818,,,,2.011,,,2.778,,,3.438,,3.124,,,3.408,,,3.408,,,3.395,,,3.488,,5.024,,,5.418,,,6.743,,,7.320,,8.112,,8.194,,,8.496,,,9.307,,9.452,9.505,12.663
33,HOCKEY,,5.371,5.148,,2.414,,,8.176,,,8.114,,7.097,,,,8.297,,,8.915,,,10.887,,11.919,,,12.183,,,12.161,,,13.329,,,12.688,,13.229,,,14.641,,,13.877,,,14.553,,15.159,,15.148,,,12.444,,,9.137,,7.582,6.986,9.144
34,JUDO,,12.987,9.326,,14.187,,,19.010,,,20.827,,10.120,,,,30.771,,,32.849,,,39.451,,57.043,,,68.756,,,84.516,,,78.107,,,79.489,,113.399,,,113.369,,,88.730,,,129.847,,125.675,,87.325,,,138.292,,,100.597,,91.000,78.835,112.712
35,KARATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.311,,,27.311,,44.907,,,44.337,,,62.760,,,72.582,,60.315,,85.179,,,102.330,,,107.853,,106.849,114.465,117.389
36,KICKBOXING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LUCHAS OLÍMPICAS,,2.436,3.022,,3.387,,,3.796,,,4.407,,4.729,,,,5.343,,,6.075,,,6.511,,4.117,,,7.984,,,7.976,,,7.755,,,7.755,,7.972,,,7.261,,,15.629,,,18.015,,18.822,,4.237,,,5.182,,,6.388,,5.260,3.703,4.437
38,"MONTAÑA Y ESCALADA, DEP. DE",,62.527,24.500,,26.250,,,33.229,,,33.053,,42.611,,,,42.663,,,57.275,,,65.376,,75.896,,,82.088,,,82.313,,,74.187,,,74.287,,69.008,,,70.506,,,64.235,,,58.388,,57.607,,54.437,,,54.247,,,57.694,,52.096,49.285,53.702
39,MOTOCICLISMO,,1.512,1.408,,1.568,,,1.717,,,1.717,,5.706,,,,7.776,,,10.252,,,15.954,,18.008,,,19.394,,,16.121,,,15.762,,,13.080,,14.212,,,8.799,,,12.709,,,9.254,,11.215,,11.661,,,7.463,,,5.830,,7.013,7.670,9.310
40,MOTONÁUTICA,,284,686,,1.071,,,1.167,,,1.678,,1.567,,,,1.824,,,2.129,,,2.363,,2.699,,,2.689,,,2.780,,,2.815,,,2.917,,2.923,,,1.841,,,1.710,,,1.770,,1.940,,2.111,,,3.542,,,3.557,,2.120,2.040,1.873
41,NATACIÓN,,10.012,13.290,,16.697,,,18.678,,,20.510,,12.305,,,,22.677,,,19.729,,,17.241,,16.789,,,18.216,,,96.012,,,16.154,,,16.154,,17.483,,,20.926,,,21.436,,,21.872,,23.350,,34.257,,,26.699,,,27.535,,20.633,21.605,21.941
42,ORIENTACIÓN (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PADEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PATINAJE,,3.552,4.626,,4.534,,,3.929,,,3.929,,3.430,,,,6.993,,,8.033,,,10.025,,10.429,,,6.376,,,10.566,,,7.470,,,9.747,,11.008,,,11.741,,,14.752,,,15.295,,16.353,,21.343,,,20.831,,,20.207,,23.867,22.485,22.603
45,PELOTA,,2.161,3.223,,6.500,,,11.359,,,15.457,,17.542,,,,10.848,,,12.495,,,15.159,,10.721,,,13.963,,,16.295,,,20.578,,,24.340,,28.222,,,27.211,,,20.323,,,18.944,,32.522,,24.061,,,24.562,,,22.325,,25.374,18.506,24.264
46,PENTATLON MODERNO,,69,70,,71,,,73,,,74,,76,,,,81,,,153,,,179,,193,,,243,,,212,,,260,,,254,,100,,,371,,,352,,,528,,336,,396,,,431,,,272,,506,408,379
47,PESCA,,6.082,2.570,,8.703,,,28.841,,,31.296,,36.785,,,,36.785,,,33.770,,,42.168,,71.571,,,58.086,,,58.086,,,86.001,,,86.001,,68.998,,,77.259,,,67.281,,,73.939,,84.700,,54.432,,,54.224,,,44.567,,40.984,39.318,40.321
48,PETANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.818,,,27.646,,,29.465,,31.064,30.082,31.043
49,PIRAGÜISMO,,1.819,2.843,,3.193,,,3.899,,,3.774,,4.008,,,,3.295,,,4.021,,,4.095,,4.305,,,3.398,,,3.965,,,4.288,,,3.887,,5.402,,,5.427,,,7.628,,,7.853,,10.407,,12.217,,,14.800,,,13.558,,13.686,17.956,16.860
50,POLO,,73,80,,85,,,121,,,130,,130,,,,198,,,201,,,81,,117,,,137,,,137,,,149,,,159,,173,,,181,,,179,,,139,,155,,103,,,123,,,141,,147,164,99
51,REMO,,1.184,1.381,,1.576,,,1.295,,,1.755,,1.864,,,,2.303,,,2.391,,,2.251,,3.033,,,3.107,,,3.367,,,3.408,,,4.115,,4.432,,,5.135,,,5.055,,,4.741,,4.377,,4.262,,,5.142,,,5.813,,6.606,7.426,7.197
52,RUGBY,,4.186,4.759,,2.459,,,4.387,,,4.886,,4.803,,,,6.319,,,7.975,,,11.109,,11.907,,,11.284,,,10.529,,,8.184,,,10.723,,10.521,,,10.729,,,10.638,,,11.126,,12.234,,11.809,,,13.869,,,14.876,,15.036,14.707,14.070
53,SALVAMENTO Y SOCORRISMO,,18.362,23.473,,28.138,,,33.420,,,49.749,,44.876,,,,52.477,,,59.731,,,69.199,,10.342,,,89.804,,,89.804,,,9.842,,,9.842,,8.520,,,4.976,,,6.089,,,3.730,,4.343,,7.579,,,7.584,,,8.345,,8.786,9.109,9.479
54,SQUASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.539,,2.186,,,3.919,,,9.585,,10.232,8.026,6.394
55,SURF,,,,,,,,,,,,,185,,,,356,,,410,,,410,,553,,,547,,,547,,,491,,,704,,506,,,488,,,,,,,,,,,,,,,,,,,,
56,TAEKWONDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.027,,58.684,58.658,60.494
57,TENIS,,4.701,6.240,,8.017,,,10.581,,,13.804,,19.404,,,,22.172,,,25.111,,,27.948,,35.276,,,44.509,,,53.901,,,55.185,,,63.973,,76.598,,,84.969,,,89.811,,,93.429,,100.177,,127.823,,,108.898,,,124.188,,126.959,119.771,122.290
58,TENIS DE MESA,,1.854,2.559,,2.901,,,3.818,,,3.818,,4.437,,,,5.107,,,5.441,,,5.284,,19.401,,,20.464,,,20.487,,,14.803,,,15.349,,18.705,,,18.907,,,22.057,,,13.621,,10.556,,19.356,,,21.119,,,25.387,,24.756,21.094,22.065
59,TIRO A VUELO,,717,708,,753,,,934,,,934,,2.934,,,,2.337,,,2.237,,,2.734,,3.020,,,3.059,,,3.065,,,4.387,,,4.387,,6.533,,,6.007,,,7.358,,,6.169,,5.014,,5.204,,,6.367,,,5.627,,3.700,2.181,2.212
60,TIRO CON ARCO,,554,642,,966,,,1.223,,,1.330,,1.914,,,,2.170,,,2.686,,,3.012,,3.389,,,3.537,,,3.590,,,3.610,,,3.919,,4.142,,,4.380,,,4.620,,,4.678,,5.237,,5.651,,,6.184,,,6.166,,6.732,6.665,6.143
61,TIRO OLÍMPICO,,16.298,20.385,,21.553,,,26.026,,,14.621,,20.193,,,,19.664,,,24.563,,,20.283,,18.761,,,22.437,,,25.987,,,27.728,,,46.228,,19.704,,,30.075,,,50.547,,,56.079,,50.177,,44.301,,,45.509,,,41.559,,49.644,52.157,55.969
62,TRIATLON (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,1.584
63,VELA,,965,1.480,,2.357,,,2.375,,,4.889,,7.199,,,,8.765,,,10.040,,,10.673,,12.695,,,13.448,,,13.448,,,14.508,,,16.170,,18.600,,,21.542,,,23.171,,,21.794,,19.494,,18.426,,,19.900,,,21.215,,22.437,25.242,31.146
64,VOLEIBOL,,6.364,8.612,,12.144,,,18.907,,,6.803,,7.782,,,,10.637,,,71.438,,,89.145,,84.704,,,67.471,,,65.718,,,30.915,,,11.252,,20.210,,,21.900,,,24.055,,,21.656,,20.005,,21.204,,,23.227,,,23.940,,28.188,22.926,26.972
"1
2",BAILE DEPORTIVO (A.E.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FÚTBOL AMERICANO (A.E.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOBSLEIGH (*),,,11,,15,,,16,,,20,,17,,,,43,,,33,,,23,,62,,,18,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPORTE UNIVERSITARIO (*),,,,,,,,,,,,,29.774,,,,38.044,,,43.897,,,43.719,,52.126,,,47.485,,,44.408,,,33.810,,,30.676,,33.881,,,35.877,,,42.019,,,39.233,,39.731,,,,,,,,,,,,
,FÚTBOL SALA (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.188,,,63.764,,70.139,102.348,22.974
TOTALES,,,415.014,408.127,,508.467,,,640.375,,,725.203,,815.001,,,,1.180.531,,,1.377.455,,,1.568.648,,1.628.850,,,1.799.437,,,1.969.971,,,1.541.882,,,1.658.071,,1.765.451,,,1.844.009,,,1.994.899,,,2.053.604,,2.255.216,,2.167.809,,,2.249.118,,,2.300.568,,2.560.545,2.345.204,2.319.038
(1)  Actualmente son 5 Federaciones lo que antes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  Integrada en Deportes de Invierno hasta su se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)  Agrupación desde 1993 hasta 2003 que se con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)  Integrada en Pentatlon Moderno hasta su segr (*)  Desaparecieron como Federación Española,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1991,1992,,,1993,,,1994,,,1995,,,1996,,,,1997,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,2004,,2005,,,,2006,,2007,,,2008,,2009,,,2010,,,2011,,,,,
1,ACTIVIDADES SUBACUÁTICAS,,23.411,27.668,,,31.893,,,35.292,,,37.153,,,37.117,,,,36.721,,36.886,,,39.160,,,32.183,,,34.857,,,31.503,,,43.170,,44.062,,40.515,,,,40.810,,42.255,,,38.934,,38.510,,,37.978,,,36.969,,,,,
2,AERONÁUTICA,,12.880,12.142,,,11.813,,,12.116,,,10.307,,,10.524,,,,7.108,,6.824,,,8.553,,,7.373,,,2.910,,,4.656,,,2.324,,6.495,,7.541,,,,8.017,,8.415,,,10.602,,11.375,,,13.004,,,10.350,,,,,
3,AJEDREZ,,25.070,18.377,,,18.377,,,16.872,,,17.914,,,18.074,,,,19.894,,15.557,,,18.556,,,20.396,,,25.656,,,25.960,,,24.655,,26.562,,26.145,,,,23.260,,22.894,,,22.133,,22.074,,,22.593,,,23.122,,,,,
4,ATLETISMO,,97.771,95.336,,,95.980,,,101.781,,,92.578,,,86.050,,,,77.279,,67.206,,,88.515,,,69.149,,,78.870,,,23.026,,,20.305,,109.884,,110.673,,,,111.411,,83.437,,,77.940,,79.816,,,75.549,,,71.912,,,,,
5,AUTOMOVILISMO,,10.045,9.473,,,8.840,,,6.306,,,7.330,,,7.657,,,,10.254,,10.691,,,11.123,,,10.625,,,14.764,,,16.410,,,18.931,,16.574,,14.773,,,,16.634,,19.647,,,19.979,,18.920,,,18.846,,,17.947,,,,,
6,BADMINTON,,5.711,7.430,,,9.780,,,3.098,,,7.064,,,7.853,,,,3.828,,4.070,,,3.914,,,4.100,,,4.403,,,4.818,,,4.946,,5.229,,5.440,,,,5.687,,6.001,,,6.688,,6.813,,,6.838,,,7.008,,,,,
7,BALONCESTO,,195.831,228.641,,,222.647,,,231.193,,,230.877,,,239.234,,,,195.367,,265.909,,,275.737,,,287.132,,,273.254,,,281.207,,,291.445,,305.842,,307.618,,,,320.543,,344.882,,,366.994,,385.430,,,401.421,,,403.561,,,,,
8,BALONMANO,,63.105,69.081,,,65.540,,,58.975,,,67.752,,,76.936,,,,75.069,,65.443,,,66.382,,,67.552,,,85.351,,,88.140,,,90.370,,90.774,,92.978,,,,94.057,,95.279,,,93.950,,95.022,,,95.652,,,96.258,,,,,
9,BÉISBOL Y SOFTBOL,,3.528,3.685,,,3.541,,,3.451,,,3.440,,,3.189,,,,3.370,,3.384,,,2.773,,,1.792,,,1.767,,,6.702,,,6.276,,7.262,,5.819,,,,5.077,,4.822,,,6.593,,7.080,,,6.532,,,6.615,,,,,
10,BILLAR,,2.172,2.472,,,1.416,,,1.314,,,1.579,,,1.315,,,,2.590,,2.033,,,2.692,,,2.857,,,2.883,,,3.179,,,2.229,,3.204,,2.353,,,,3.136,,2.230,,,3.050,,2.519,,,2.404,,,3.212,,,,,
11,BOLOS,,12.846,11.774,,,8.085,,,14.960,,,8.844,,,10.020,,,,10.102,,7.949,,,8.925,,,8.844,,,6.990,,,10.930,,,12.042,,12.027,,12.215,,,,12.178,,11.861,,,12.418,,11.613,,,9.824,,,9.928,,,,,
12,BOXEO,,3.750,4.524,,,4.598,,,5.362,,,2.409,,,2.567,,,,2.634,,2.708,,,2.560,,,2.747,,,2.907,,,4.192,,,2.572,,4.079,,3.170,,,,3.312,,3.142,,,3.360,,2.907,,,3.572,,,4.013,,,,,
13,CAZA,,410.000,431.775,,,432.155,,,437.858,,,426.022,,,428.855,,,,427.295,,422.933,,,439.950,,,440.299,,,306.168,,,435.191,,,434.387,,354.387,,432.520,,,,432.605,,421.065,,,406.671,,411.453,,,398.742,,,390.856,,,,,
14,CICLISMO,,42.213,40.071,,,45.351,,,45.455,,,52.760,,,45.885,,,,38.055,,38.350,,,35.020,,,31.787,,,31.504,,,34.418,,,36.869,,38.471,,41.611,,,,63.144,,61.005,,,50.694,,53.843,,,57.082,,,59.717,,,,,
15,COLOMBICULTURA,,22.862,22.779,,,22.692,,,19.673,,,14.227,,,17.786,,,,17.447,,17.157,,,17.162,,,17.163,,,17.430,,,17.526,,,17.515,,19.556,,20.468,,,,19.922,,20.515,,,22.160,,22.126,,,22.536,,,23.436,,,,,
16,COLOMBÓFILA,,5.092,5.084,,,5.014,,,5.039,,,4.806,,,4.849,,,,4.735,,4.696,,,9.426,,,4.714,,,4.791,,,9.680,,,4.724,,9.444,,4.837,,,,4.725,,4.595,,,4.832,,5.884,,,4.932,,,3.441,,,,,
17,DEP. DISCAPACIDAD FÍSICA (1),,2.355,3.322,,,3.068,,,16.038,,,11.027,,,11.208,,,,12.319,,13.707,,,4.031,,,2.348,,,1.671,,,3.557,,,1.675,,1.734,,5.829,,,,6.804,,7.185,,,3.970,,7.017,,,7.591,,,4.031,,,,,
18,DEP. DISCAPACIDAD INTELECTUAL,,,,,,,,,,,,,,,,,,,,,,,,4.622,,,4.719,,,3.952,,,4.024,,,4.308,,4.386,,4.581,,,,4.014,,4.420,,,6.302,,5.005,,,5.188,,,4.638,,,,,
19,DEP. PARA CIEGOS,,,,,,,,,,,,,,,,,,,,,,,,2.406,,,2.448,,,2.448,,,2.026,,,2.541,,2.013,,2.262,,,,2.487,,2.456,,,2.542,,2.517,,,2.415,,,2.082,,,,,
20,DEP. PARA SORDOS,,,,,,,,,,,,,,,,,,,,,,,,959,,,1.921,,,1.875,,,2.085,,,1.946,,1.946,,2.269,,,,919,,1.047,,,2.268,,1.071,,,776,,,730,,,,,
21,DEP. PARALÍTICOS CEREBRALES,,,,,,,,,,,,,,,,,,,,,,,,1.439,,,906,,,874,,,841,,,1.364,,1.386,,1.898,,,,1.624,,2.162,,,2.294,,1.969,,,1.828,,,1.743,,,,,
22,DEPORTES DE HIELO (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.306,,785,,,728,,1.326,,,1.406,,,1.798,,,,,
23,DEPORTES DE INVIERNO,,55.779,60.648,,,46.886,,,49.024,,,45.641,,,74.958,,,,61.643,,35.851,,,36.808,,,3.073,,,26.804,,,49.129,,,40.551,,33.699,,34.060,,,,13.078,,13.460,,,15.040,,15.928,,,13.768,,,11.786,,,,,
24,ESGRIMA,,5.121,3.460,,,3.103,,,2.346,,,2.075,,,2.207,,,,3.184,,6.181,,,7.129,,,7.142,,,7.585,,,6.176,,,6.338,,7.127,,7.839,,,,8.810,,8.320,,,9.184,,9.572,,,9.335,,,8.453,,,,,
25,ESPELEOLOGIA,,6.229,6.667,,,7.424,,,7.209,,,6.972,,,6.697,,,,6.634,,6.768,,,5.523,,,6.221,,,3.621,,,7.320,,,9.488,,6.190,,6.329,,,,7.258,,7.861,,,7.593,,8.405,,,8.742,,,9.367,,,,,
26,ESQUÍ NÁUTICO,,1.286,1.099,,,841,,,1.016,,,1.033,,,954,,,,1.141,,1.195,,,6.155,,,1.649,,,1.204,,,980,,,893,,1.157,,1.065,,,,1.639,,1.551,,,1.685,,1.970,,,1.722,,,1.162,,,,,
27,FÚTBOL,,431.426,429.040,,,470.598,,,489.916,,,521.602,,,548.432,,,,597.039,,546.498,,,578.213,,,612.499,,,592.176,,,618.157,,,671.581,,678.788,,681.481,,,,692.094,,736.010,,,770.140,,779.829,,,805.707,,,834.458,,,,,
28,GALGOS,,2.380,2.817,,,2.643,,,2.698,,,2.819,,,3.041,,,,7.009,,4.635,,,5.088,,,5.307,,,5.757,,,12.415,,,6.400,,13.635,,9.577,,,,10.273,,11.258,,,11.892,,13.715,,,13.293,,,14.615,,,,,
29,GIMNASIA,,7.741,5.002,,,5.050,,,3.929,,,6.498,,,5.759,,,,7.300,,7.933,,,8.879,,,8.895,,,7.604,,,10.014,,,10.190,,11.261,,12.149,,,,11.404,,9.276,,,9.777,,18.593,,,25.219,,,23.917,,,,,
30,GOLF,,55.516,73.203,,,79.131,,,88.966,,,97.254,,,109.121,,,,121.771,,136.881,,,152.840,,,174.908,,,195.081,,,220.176,,,239.782,,256.117,,279.660,,,,278.430,,316.038,,,331.978,,337.112,,,333.237,,,325.192,,,,,
31,HALTEROFILIA,,10.175,9.546,,,8.781,,,3.283,,,3.484,,,3.178,,,,2.656,,2.324,,,2.073,,,2.074,,,1.804,,,2.015,,,1.886,,2.054,,2.121,,,,2.238,,2.168,,,2.179,,2.183,,,2.386,,,2.497,,,,,
32,HÍPICA,,13.364,12.762,,,11.916,,,11.294,,,11.104,,,10.031,,,,8.786,,8.457,,,3.786,,,3.870,,,4.029,,,10.199,,,18.406,,27.371,,28.846,,,,28.967,,33.727,,,39.495,,42.604,,,49.959,,,53.031,,,,,
33,HOCKEY,,9.082,6.365,,,7.966,,,8.108,,,6.937,,,7.323,,,,6.675,,6.538,,,6.619,,,5.500,,,6.484,,,9.093,,,5.912,,9.222,,7.270,,,,8.229,,7.669,,,9.436,,9.830,,,10.827,,,9.845,,,,,
34,JUDO,,17.512,75.414,,,90.598,,,8.108,,,104.641,,,93.900,,,,98.598,,101.215,,,104.333,,,105.008,,,107.087,,,103.815,,,106.683,,107.826,,108.047,,,,107.642,,107.757,,,109.773,,108.897,,,107.850,,,108.077,,,,,
35,KARATE,,99.694,112.109,,,94.700,,,8.108,,,98.794,,,86.937,,,,90.070,,77.037,,,67.712,,,65.718,,,61.832,,,60.990,,,59.835,,61.666,,60.749,,,,64.830,,56.450,,,67.417,,67.649,,,69.938,,,71.433,,,,,
36,KICKBOXING,,,,,,,,,1.031,,,2.014,,,2.166,,,,1.552,,1.414,,,1.838,,,2.370,,,1.861,,,1.819,,,2.070,,2.165,,2.004,,,,2.449,,2.462,,,2.777,,2.906,,,3.221,,,3.159,,,,,
37,LUCHAS OLÍMPICAS,,6.625,6.940,,,6.658,,,5.432,,,6.694,,,6.811,,,,6.641,,7.335,,,7.782,,,8.122,,,5.472,,,6.255,,,7.711,,9.066,,8.529,,,,8.271,,8.122,,,11.686,,10.517,,,11.019,,,10.777,,,,,
38,"MONTAÑA Y ESCALADA, DEP. DE",,54.104,58.279,,,54.625,,,56.757,,,58.096,,,58.077,,,,61.924,,54.548,,,58.134,,,62.141,,,65.285,,,66.466,,,88.323,,95.629,,99.011,,,,105.558,,109.633,,,115.061,,125.631,,,139.325,,,148.592,,,,,
39,MOTOCICLISMO,,8.651,8.950,,,8.152,,,7.112,,,8.672,,,6.095,,,,6.117,,6.179,,,6.799,,,8.801,,,4.191,,,4.133,,,13.571,,14.298,,15.616,,,,16.019,,18.080,,,20.108,,17.386,,,18.255,,,15.293,,,,,
40,MOTONÁUTICA,,4.225,2.067,,,919,,,717,,,836,,,856,,,,826,,1.141,,,889,,,1.014,,,794,,,1.175,,,907,,1.937,,1.170,,,,1.166,,966,,,1.376,,1.052,,,993,,,806,,,,,
41,NATACIÓN,,23.181,23.458,,,37.264,,,40.395,,,43.200,,,36.148,,,,34.118,,36.901,,,10.064,,,9.935,,,6.172,,,17.030,,,40.504,,45.700,,48.255,,,,44.252,,45.698,,,51.360,,54.752,,,56.713,,,55.217,,,,,
42,ORIENTACIÓN (3),,,,,,,,,,,,975,,,724,,,,890,,1.080,,,1.700,,,1.584,,,1.869,,,1.901,,,2.984,,5.494,,5.969,,,,8.214,,10.210,,,10.339,,14.592,,,14.005,,,18.324,,,,,
43,PADEL,,,,,,,,,2.748,,,3.075,,,2.721,,,,3.515,,4.141,,,5.463,,,6.137,,,7.225,,,8.344,,,10.019,,17.545,,13.698,,,,16.736,,20.359,,,23.371,,26.723,,,31.510,,,34.787,,,,,
44,PATINAJE,,18.555,20.085,,,20.085,,,21.634,,,21.881,,,22.613,,,,22.837,,23.476,,,29.653,,,26.697,,,30.155,,,31.294,,,29.367,,33.674,,31.474,,,,32.513,,30.811,,,36.337,,36.123,,,40.039,,,42.305,,,,,
45,PELOTA,,24.205,21.508,,,23.216,,,22.580,,,24.985,,,23.336,,,,20.194,,22.978,,,22.407,,,23.457,,,23.457,,,24.121,,,26.269,,22.694,,15.814,,,,20.327,,21.467,,,18.777,,20.005,,,17.620,,,15.176,,,,,
46,PENTATLON MODERNO,,322,226,,,278,,,307,,,200,,,355,,,,421,,514,,,422,,,476,,,173,,,962,,,452,,482,,394,,,,273,,291,,,391,,365,,,195,,,302,,,,,
47,PESCA,,57.676,66.902,,,66.954,,,72.851,,,70.496,,,76.828,,,,84.169,,96.238,,,29.834,,,106.569,,,91.686,,,92.592,,,93.262,,92.689,,80.076,,,,71.522,,79.790,,,81.243,,82.010,,,74.628,,,68.235,,,,,
48,PETANCA,,31.586,31.724,,,42.685,,,28.954,,,27.276,,,28.920,,,,23.335,,19.011,,,19.869,,,21.718,,,26.272,,,27.618,,,28.428,,28.794,,29.074,,,,28.110,,31.226,,,30.365,,28.299,,,27.437,,,27.193,,,,,
49,PIRAGÜISMO,,13.897,11.109,,,11.907,,,13.478,,,10.028,,,9.057,,,,9.538,,9.457,,,10.479,,,9.947,,,7.970,,,12.718,,,21.455,,27.574,,49.282,,,,53.258,,67.394,,,48.228,,34.928,,,20.690,,,15.167,,,,,
50,POLO,,99,115,,,135,,,121,,,135,,,144,,,,140,,229,,,260,,,316,,,203,,,756,,,732,,754,,717,,,,762,,656,,,592,,533,,,537,,,533,,,,,
51,REMO,,6.462,6.211,,,6.810,,,6.589,,,5.759,,,5.820,,,,5.665,,5.846,,,6.103,,,6.092,,,6.232,,,7.215,,,6.326,,7.834,,8.007,,,,8.346,,8.769,,,9.427,,8.360,,,8.436,,,13.276,,,,,
52,RUGBY,,13.448,13.051,,,12.369,,,12.324,,,12.571,,,11.659,,,,15.082,,14.818,,,14.538,,,14.681,,,14.807,,,15.346,,,15.183,,15.973,,16.092,,,,16.873,,17.346,,,19.448,,19.770,,,20.972,,,22.347,,,,,
53,SALVAMENTO Y SOCORRISMO,,9.417,10.530,,,11.402,,,12.227,,,10.241,,,11.937,,,,10.402,,8.228,,,7.715,,,11.198,,,10.829,,,13.710,,,12.678,,13.058,,10.925,,,,9.977,,11.723,,,10.220,,13.521,,,14.710,,,14.372,,,,,
54,SQUASH,,7.352,3.883,,,5.344,,,3.228,,,3.302,,,2.104,,,,1.404,,1.421,,,1.663,,,1.507,,,2.040,,,1.891,,,1.971,,2.133,,2.373,,,,1.501,,1.531,,,1.689,,1.952,,,2.387,,,2.680,,,,,
55,SURF,,,,,,,,,,,,,,,,,,,,,,,,,,,807,,,748,,,1.065,,,1.201,,1.201,,4.390,,,,3.136,,4.258,,,4.601,,5.469,,,6.582,,,14.009,,,,,
56,TAEKWONDO,,61.657,41.730,,,65.243,,,45.886,,,46.616,,,43.526,,,,41.274,,35.166,,,36.332,,,36.332,,,37.500,,,39.398,,,39.515,,40.519,,33.899,,,,35.013,,39.178,,,39.429,,36.876,,,39.607,,,40.891,,,,,
57,TENIS,,122.373,104.535,,,112.001,,,100.670,,,95.243,,,88.500,,,,82.570,,81.410,,,82.184,,,83.185,,,87.223,,,86.620,,,99.469,,95.132,,99.309,,,,104.852,,107.934,,,109.389,,110.050,,,110.161,,,109.418,,,,,
58,TENIS DE MESA,,22.669,25.679,,,28.098,,,28.098,,,8.958,,,5.008,,,,5.972,,4.754,,,5.228,,,4.739,,,5.160,,,9.041,,,5.434,,7.816,,5.891,,,,5.038,,5.492,,,7.163,,10.363,,,10.439,,,10.820,,,,,
59,TIRO A VUELO,,1.849,1.999,,,2.054,,,1.753,,,1.789,,,1.850,,,,1.900,,2.091,,,2.077,,,2.203,,,2.260,,,4.619,,,2.239,,4.612,,2.306,,,,2.532,,2.543,,,2.488,,2.422,,,2.459,,,2.374,,,,,
60,TIRO CON ARCO,,5.878,5.759,,,4.249,,,4.445,,,5.027,,,4.732,,,,5.066,,5.475,,,5.260,,,5.991,,,3.269,,,9.616,,,6.523,,10.708,,9.411,,,,9.745,,8.487,,,10.806,,11.353,,,11.262,,,10.575,,,,,
61,TIRO OLÍMPICO,,54.601,53.220,,,55.345,,,49.921,,,51.275,,,57.103,,,,55.940,,55.449,,,52.338,,,49.625,,,55.223,,,53.924,,,57.623,,56.674,,57.969,,,,61.739,,66.065,,,65.972,,66.470,,,63.760,,,60.807,,,,,
62,TRIATLON (4),,2.550,3.324,,,3.522,,,3.750,,,3.224,,,3.132,,,,2.720,,3.373,,,3.885,,,4.210,,,4.981,,,5.474,,,5.730,,7.061,,7.739,,,,9.162,,10.640,,,11.996,,13.449,,,15.946,,,18.137,,,,,
